Paperid,Method Originality,Method Maturity,Method Popularity,Method Application Variety,Question Novelty,Question Diversity,Question Prevalence,Innovation Score,Novelty Score,Impact Score,Interdisciplinarity Score
27978,0.9966640039679029,0.10170670037926668,0.11508379888268153,0.1,0.531475195,0.1,0.1029655516724912,0.7065730129390019,0.970451568071226,0.1,0.1
1526,0.8728070276008515,0.11251580278128948,0.11508379888268153,0.1847653734162305,0.458300725,0.1,0.12480279580629057,0.6054066543438077,0.7252235919486606,0.21933491945505842,0.8529704515000001
26951,0.8725340224302713,0.1,0.1,0.1000000000002446,0.964732713,0.1,0.10925611582626056,0.46863585951940856,0.7132118451187662,0.1,0.1
3264,0.851219550956886,0.12616940581542352,0.14525139664804465,0.5662095537884732,0.548818251,0.1,0.10350474288567149,0.5894537892791127,0.6389201161112533,0.2748224965977806,0.9501498801999999
6745,0.9994477094349026,0.10170670037926668,0.11508379888268153,0.1,0.590533763,0.1,1,0.7383253234750462,0.6257482373370056,0.4139617895951412,0.1
20840,0.9995452905528208,0.1011378002528445,0.11005586592178772,0.1,0.614499006,0.1,1,0.750681146025878,0.6103486014497642,0.21933491945505842,0.648438451
26849,0.9966640039679029,0.1,0.1,0.1000000000002446,0.535024107,0.1,0.10062905641537692,0.24800092421441777,0.5943182673635924,0.1,0.1
20771,0.8728070276008515,0.1,0.1,0.1000000000002446,0.579074052,0.1,0.12336495257114327,0.2706182994454714,0.5939311847677691,0.38666318096614877,0.1
20764,0.9966640039679029,0.1,0.1,0.1000000000002446,0.436885887,0.1,0.10044932601098351,0.19761090573012946,0.5726875572510643,0.35011444728280494,0.1
19541,0.8728070276008515,0.1,0.1,0.1000000000002446,0.658093834,0.1,1,0.31119131238447323,0.5717097439279434,0.36046735597491464,0.1
2742,0.9339430615800979,0.1,0.1,0.1000000000002446,0.414539881,0.1,1,0.18613770794824397,0.5685966768861991,0.1,0.1
